playername,gamesplayed,groundouts,airouts,runs,doubles,triples,homeruns,strikeouts,baseonballs,intentionalwalks,hits,hitbypitch,avg,atbats,obp,slg,ops,caughtstealing,stolenbases,stolenbasepercentage,groundintodoubleplay,numberofpitches,plateappearances,totalbases,rbi,leftonbase,sacbunts,sacflies,babip,groundoutstoairouts,catchersinterference,atbatsperhomerun,numtimesinjured,gamesstarted,era,inningspitched,wins,losses,saves,saveopportunities,holds,blownsaves,earnedruns,whip,battersfaced,outs,gamespitched,completegames,shutouts,strikes,strikepercentage,hitbatsmen,balks,wildpitches,pickoffs,winpercentage,pitchesperinning,gamesfinished,strikeoutwalkratio,strikeoutsper9inn,walksper9inn,hitsper9inn,runsscoredper9,homerunsper9,inheritedrunners,inheritedrunnersscored
José Tena,30,25,24,11,5,0,2,26,6,0,32,0,0.299,107,0.336,0.402,0.738,0,4,1.0,0,472,113.0,43,12.0,34.0,0,0,0.38,1.04,0,53.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Yepez,50,59,42,23,14,0,5,31,15,0,52,1,0.287,181,0.34,0.448,0.788,1,2,0.667,8,761,200.0,81,22.0,78.0,0,3,0.318,1.4,0,36.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keibert Ruiz,115,101,173,45,20,0,13,48,15,0,94,5,0.228,412,0.261,0.371,0.632,1,2,0.667,11,1482,436.0,153,50.0,182.0,0,4,0.228,0.58,0,31.69,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Finnegan,60,58,59,26,4,2,9,56,20,3,55,0,0.242,227,0.302,0.396,0.698,0,5,1.0,6,975,0.0,90,0.0,0.0,0,1,0.0,0.98,0,Unknown,0,0.0,3.36,59.0,3.0,6.0,37.0,42.0,0.0,5.0,22.0,1.27,248.0,177.0,60.0,0.0,0.0,674.0,0.69,0.0,0.0,2.0,0.0,0.333,16.53,54.0,2.8,8.54,3.05,8.39,3.97,1.37,11.0,3.0
Luis García Jr.,128,136,116,52,25,1,16,78,26,2,129,0,0.282,458,0.32,0.445,0.765,4,21,0.84,12,1740,485.0,204,64.0,175.0,0,1,0.31,1.17,0,28.62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MacKenzie Gore,29,126,145,91,36,3,14,158,59,0,165,10,0.28,590,0.353,0.422,0.775,1,25,0.962,18,2716,0.0,249,0.0,0.0,1,3,0.0,0.87,1,Unknown,0,29.0,4.34,147.1,8.0,12.0,0.0,0.0,0.0,0.0,71.0,1.52,664.0,442.0,29.0,0.0,0.0,1736.0,0.64,10.0,0.0,13.0,0.0,0.4,18.43,0.0,2.68,9.65,3.6,10.08,5.56,0.86,0.0,0.0
Mitchell Parker,27,118,177,77,30,2,17,127,39,0,142,2,0.254,559,0.303,0.406,0.709,1,4,0.8,8,2235,0.0,227,0.0,0.0,1,4,0.0,0.67,0,Unknown,0,27.0,4.24,142.1,7.0,9.0,0.0,0.0,0.0,0.0,67.0,1.27,605.0,427.0,27.0,0.0,0.0,1501.0,0.67,2.0,0.0,7.0,0.0,0.438,15.7,0.0,3.26,8.03,2.47,8.98,4.87,1.07,0.0,0.0
Nasim Nuñez,38,13,6,13,1,0,0,7,6,0,10,0,0.313,32,0.421,0.344,0.765,2,6,0.75,0,174,42.0,11,1.0,8.0,4,0,0.4,2.17,0,-.--,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Corbin,29,183,143,104,41,7,23,126,51,1,191,3,0.302,633,0.353,0.498,0.851,8,22,0.733,16,2636,0.0,315,0.0,0.0,2,8,0.0,1.28,0,Unknown,0,29.0,5.6,159.0,5.0,13.0,0.0,0.0,0.0,0.0,99.0,1.52,697.0,477.0,29.0,0.0,0.0,1670.0,0.63,3.0,0.0,3.0,3.0,0.278,16.58,0.0,2.47,7.13,2.89,10.81,5.89,1.3,0.0,0.0
Robert Garcia,66,45,48,32,7,0,4,69,16,1,51,1,0.242,211,0.297,0.332,0.629,1,4,0.8,3,868,0.0,70,0.0,0.0,1,1,0.0,0.94,0,Unknown,1,0.0,4.33,54.0,3.0,5.0,0.0,3.0,11.0,3.0,26.0,1.24,230.0,162.0,66.0,0.0,0.0,603.0,0.69,1.0,0.0,3.0,0.0,0.375,16.07,6.0,4.31,11.5,2.67,8.5,5.33,0.67,40.0,11.0
Tanner Rainey,45,25,74,27,8,1,7,37,28,1,45,4,0.25,180,0.362,0.422,0.784,1,4,0.8,2,852,0.0,76,0.0,0.0,0,1,0.0,0.34,0,Unknown,0,0.0,5.09,46.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.59,213.0,138.0,45.0,0.0,0.0,527.0,0.62,4.0,0.0,5.0,0.0,.---,18.52,30.0,1.32,7.24,5.48,8.8,5.28,1.37,5.0,1.0
Zach Brzykcy,4,1,6,5,1,0,0,3,3,0,5,0,0.333,15,0.444,0.4,0.844,0,0,.---,1,65,0.0,6,0.0,0.0,0,0,0.0,0.17,0,Unknown,0,0.0,12.27,3.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.18,18.0,11.0,4.0,0.0,0.0,38.0,0.58,0.0,0.0,0.0,0.0,.---,17.73,0.0,1.0,7.36,7.36,12.27,12.27,0.0,0.0,0.0
